(BEHAVIORNAME),(DESCRIPTION),(TYPE),(PARAMDESCRIPTION),(CHSDESCRIPTION),(EXTSTRINGINDEX),(EXTSTRINGFAMILY),(SHOWFLAG)
directory_create,创建目录,1,directory|retvalue||,目录|返回值||,0,01|02|03|04|05|06|07|08|11|12|13|29|30|31|32|33|34|35|36|37|38|39|40|41|44|46||,1
directory_remove,删除目录,1,directory|retvalue||,目录|返回值||,0,01|02|03|04|05|06|07|08|11|12|13|29|30|31|32|33|34|35|36|37|38|39|40|41|44|46||,1
disk_freespace_get,获取磁盘空闲空间,1,disk||,盘符||,99,NULL,1
disk_label_set,设置磁盘卷标,1,disk|name||,盘符|名字||,99,NULL,1
dlldirectory_set,添加Dll目录,1,DllDirectory|retvalue||,Dll目录|返回值||,0,01|02|03|04|05|06|07|08|09|10|11|12|13||,1
drive_info_get,磁盘卷属性获取,1,path||,路径||,0,44||,1
drive_strings_get,获取逻辑磁盘描述串,1,NULL,NULL,99,NULL,1
file_attributes_get,获取文件属性,1,file||,文件||,0,01|02|03|04|05|06|07|08|11|12|13|29|30|31|32|33|34|35|36|37|38|39|40|41|44|46|53||,1
file_attributes_set,设置文件属性,1,path|attributes|retvalue||,文件|属性|返回值||,0,01|02|03|04|05|06|07|08|11|12|13|29|30|31|32|33|34|35|36|37|38|39|40|41|44|53||,1
file_copy,复制文件,1,source_path|destination_path|retvalue||,源路径|目的路径|返回值||,1,01|02|03|04|05|06|08|11|12|13|29|30|31|32|33|34|35|36|37|38|39|40|41|44|53||,1
file_create,创建文件,1,path|dwcreationdisposition|retvalue||,文件|标志|返回值||,0,01|02|03|04|05|06|07|08|11|12|13|29|30|31|32|33|34|35|36|37|38|39|40|41|44|53||,1
file_delete,删除文件,1,path|retvalue||,路径|返回值||,0,01|02|03|04|05|06|07|08|11|12|13|29|30|31|32|33|34|35|36|37|38|39|40|41|44|53||,1
file_end_set,设置文件结尾,1,file|retvalue||,路径|返回值||,0,01|02|03|04|05|06|07|08|11|12|13|29|30|31|32|33|34|35|36|37|38|39|40|41|44|46|53||,1
file_find,查找文件,1,path||,路径||,0,01|02|03|04|05|06|07|08|09|10|11|12|13|29|30|31|32|33|34|35|36|37|38|39|40|41|44|53||,1
file_move,移动文件,1,source_path|destination_path|retvalue||,源路径|目的路径|返回值||,1,01|02|03|04|05|06|08|11|12|13|29|30|31|32|33|34|35|36|37|38|39|40|41|44|53||,1
