(DecisionAttributeID),(AttributeName),(AttributeBeh),(AttributeDescription),(AttributeExtStrFamily)
0,directory_create_0,directory_create,创建目录_自启动项设置文件夹,1
1,directory_create_1,directory_create,创建目录_系统关键文件夹,2
2,directory_create_2,directory_create,创建目录_操作系统安装文件夹,3
3,directory_create_3,directory_create,创建目录_我的文档,4
4,directory_create_4,directory_create,创建目录_操作系统相关文件夹,5
5,directory_create_5,directory_create,创建目录_网络临时文件夹,6
6,directory_create_6,directory_create,创建目录_自身所在文件夹,7
7,directory_create_7,directory_create,创建目录_驱动程序相关文件夹,8
8,directory_create_8,directory_create,创建目录_应用程序配置文件夹,11
9,directory_create_9,directory_create,创建目录_IE浏览器安装文件夹,12
10,directory_create_10,directory_create,创建目录_临时文件夹,13
11,directory_create_11,directory_create,创建目录_可执行文件,29
12,directory_create_12,directory_create,创建目录_服务模块,30
13,directory_create_13,directory_create,创建目录_脚本文件,31
14,directory_create_14,directory_create,创建目录_配置文件,32
15,directory_create_15,directory_create,创建目录_动态链接库文件,33
16,directory_create_16,directory_create,创建目录_临时文件,34
17,directory_create_17,directory_create,创建目录_二进制数据文件,35
18,directory_create_18,directory_create,创建目录_杀毒软件进程名,36
19,directory_create_19,directory_create,创建目录_系统重要进程名,37
20,directory_create_20,directory_create,创建目录_系统关键配置文件,38
21,directory_create_21,directory_create,创建目录_磁盘自动运行配置文件,39
22,directory_create_22,directory_create,创建目录_IE浏览器进程,40
23,directory_create_23,directory_create,创建目录_与正常进程混淆的进程名,41
24,directory_create_24,directory_create,创建目录_移动存储设备位置,44
25,directory_create_25,directory_create,创建目录_系统日志文件,46
26,directory_create_x,directory_create,创建目录_其他,NULL
27,directory_remove_0,directory_remove,删除目录_自启动项设置文件夹,1
28,directory_remove_1,directory_remove,删除目录_系统关键文件夹,2
29,directory_remove_2,directory_remove,删除目录_操作系统安装文件夹,3
30,directory_remove_3,directory_remove,删除目录_我的文档,4
31,directory_remove_4,directory_remove,删除目录_操作系统相关文件夹,5
32,directory_remove_5,directory_remove,删除目录_网络临时文件夹,6
33,directory_remove_6,directory_remove,删除目录_自身所在文件夹,7
34,directory_remove_7,directory_remove,删除目录_驱动程序相关文件夹,8
35,directory_remove_8,directory_remove,删除目录_应用程序配置文件夹,11
36,directory_remove_9,directory_remove,删除目录_IE浏览器安装文件夹,12
37,directory_remove_10,directory_remove,删除目录_临时文件夹,13
38,directory_remove_11,directory_remove,删除目录_可执行文件,29
39,directory_remove_12,directory_remove,删除目录_服务模块,30
40,directory_remove_13,directory_remove,删除目录_脚本文件,31
41,directory_remove_14,directory_remove,删除目录_配置文件,32
42,directory_remove_15,directory_remove,删除目录_动态链接库文件,33
43,directory_remove_16,directory_remove,删除目录_临时文件,34
44,directory_remove_17,directory_remove,删除目录_二进制数据文件,35
45,directory_remove_18,directory_remove,删除目录_杀毒软件进程名,36
46,directory_remove_19,directory_remove,删除目录_系统重要进程名,37
47,directory_remove_20,directory_remove,删除目录_系统关键配置文件,38
48,directory_remove_21,directory_remove,删除目录_磁盘自动运行配置文件,39
49,directory_remove_22,directory_remove,删除目录_IE浏览器进程,40
50,directory_remove_23,directory_remove,删除目录_与正常进程混淆的进程名,41
51,directory_remove_24,directory_remove,删除目录_移动存储设备位置,44
52,directory_remove_25,directory_remove,删除目录_系统日志文件,46
53,directory_remove_x,directory_remove,删除目录_其他,NULL
54,disk_freespace_get,disk_freespace_get,获取磁盘空闲空间,NULL
55,disk_label_set,disk_label_set,设置磁盘卷标,NULL
56,dlldirectory_set_0,dlldirectory_set,添加Dll目录_自启动项设置文件夹,1
57,dlldirectory_set_1,dlldirectory_set,添加Dll目录_系统关键文件夹,2
58,dlldirectory_set_2,dlldirectory_set,添加Dll目录_操作系统安装文件夹,3
59,dlldirectory_set_3,dlldirectory_set,添加Dll目录_我的文档,4
60,dlldirectory_set_4,dlldirectory_set,添加Dll目录_操作系统相关文件夹,5
61,dlldirectory_set_5,dlldirectory_set,添加Dll目录_网络临时文件夹,6
62,dlldirectory_set_6,dlldirectory_set,添加Dll目录_自身所在文件夹,7
63,dlldirectory_set_7,dlldirectory_set,添加Dll目录_驱动程序相关文件夹,8
64,dlldirectory_set_8,dlldirectory_set,添加Dll目录_即时通讯工具相关文件夹,9
65,dlldirectory_set_9,dlldirectory_set,添加Dll目录_下载工具相关文件夹,10
66,dlldirectory_set_10,dlldirectory_set,添加Dll目录_应用程序配置文件夹,11
67,dlldirectory_set_11,dlldirectory_set,添加Dll目录_IE浏览器安装文件夹,12
68,dlldirectory_set_12,dlldirectory_set,添加Dll目录_临时文件夹,13
69,dlldirectory_set_x,dlldirectory_set,添加Dll目录_其他,NULL
70,drive_info_get_0,drive_info_get,磁盘卷属性获取_移动存储设备位置,44
71,drive_info_get_x,drive_info_get,磁盘卷属性获取_其他,NULL
72,drive_strings_get,drive_strings_get,获取逻辑磁盘描述串,NULL
73,file_attributes_get_0,file_attributes_get,获取文件属性_自启动项设置文件夹,1
74,file_attributes_get_1,file_attributes_get,获取文件属性_系统关键文件夹,2
75,file_attributes_get_2,file_attributes_get,获取文件属性_操作系统安装文件夹,3
76,file_attributes_get_3,file_attributes_get,获取文件属性_我的文档,4
77,file_attributes_get_4,file_attributes_get,获取文件属性_操作系统相关文件夹,5
78,file_attributes_get_5,file_attributes_get,获取文件属性_网络临时文件夹,6
79,file_attributes_get_6,file_attributes_get,获取文件属性_自身所在文件夹,7
80,file_attributes_get_7,file_attributes_get,获取文件属性_驱动程序相关文件夹,8
81,file_attributes_get_8,file_attributes_get,获取文件属性_应用程序配置文件夹,11
82,file_attributes_get_9,file_attributes_get,获取文件属性_IE浏览器安装文件夹,12
83,file_attributes_get_10,file_attributes_get,获取文件属性_临时文件夹,13
84,file_attributes_get_11,file_attributes_get,获取文件属性_可执行文件,29
85,file_attributes_get_12,file_attributes_get,获取文件属性_服务模块,30
86,file_attributes_get_13,file_attributes_get,获取文件属性_脚本文件,31
87,file_attributes_get_14,file_attributes_get,获取文件属性_配置文件,32
88,file_attributes_get_15,file_attributes_get,获取文件属性_动态链接库文件,33
89,file_attributes_get_16,file_attributes_get,获取文件属性_临时文件,34
90,file_attributes_get_17,file_attributes_get,获取文件属性_二进制数据文件,35
91,file_attributes_get_18,file_attributes_get,获取文件属性_杀毒软件进程名,36
92,file_attributes_get_19,file_attributes_get,获取文件属性_系统重要进程名,37
93,file_attributes_get_20,file_attributes_get,获取文件属性_系统关键配置文件,38
94,file_attributes_get_21,file_attributes_get,获取文件属性_磁盘自动运行配置文件,39
95,file_attributes_get_22,file_attributes_get,获取文件属性_IE浏览器进程,40
96,file_attributes_get_23,file_attributes_get,获取文件属性_与正常进程混淆的进程名,41
97,file_attributes_get_24,file_attributes_get,获取文件属性_移动存储设备位置,44
98,file_attributes_get_25,file_attributes_get,获取文件属性_系统日志文件,46
99,file_attributes_get_26,file_attributes_get,获取文件属性_常用软件进程名,53
100,file_attributes_get_x,file_attributes_get,获取文件属性_其他,NULL
101,file_attributes_set_0,file_attributes_set,设置文件属性_自启动项设置文件夹,1
102,file_attributes_set_1,file_attributes_set,设置文件属性_系统关键文件夹,2
103,file_attributes_set_2,file_attributes_set,设置文件属性_操作系统安装文件夹,3
104,file_attributes_set_3,file_attributes_set,设置文件属性_我的文档,4
105,file_attributes_set_4,file_attributes_set,设置文件属性_操作系统相关文件夹,5
106,file_attributes_set_5,file_attributes_set,设置文件属性_网络临时文件夹,6
107,file_attributes_set_6,file_attributes_set,设置文件属性_自身所在文件夹,7
108,file_attributes_set_7,file_attributes_set,设置文件属性_驱动程序相关文件夹,8
109,file_attributes_set_8,file_attributes_set,设置文件属性_应用程序配置文件夹,11
110,file_attributes_set_9,file_attributes_set,设置文件属性_IE浏览器安装文件夹,12
111,file_attributes_set_10,file_attributes_set,设置文件属性_临时文件夹,13
112,file_attributes_set_11,file_attributes_set,设置文件属性_可执行文件,29
113,file_attributes_set_12,file_attributes_set,设置文件属性_服务模块,30
114,file_attributes_set_13,file_attributes_set,设置文件属性_脚本文件,31
115,file_attributes_set_14,file_attributes_set,设置文件属性_配置文件,32
116,file_attributes_set_15,file_attributes_set,设置文件属性_动态链接库文件,33
117,file_attributes_set_16,file_attributes_set,设置文件属性_临时文件,34
118,file_attributes_set_17,file_attributes_set,设置文件属性_二进制数据文件,35
119,file_attributes_set_18,file_attributes_set,设置文件属性_杀毒软件进程名,36
120,file_attributes_set_19,file_attributes_set,设置文件属性_系统重要进程名,37
121,file_attributes_set_20,file_attributes_set,设置文件属性_系统关键配置文件,38
122,file_attributes_set_21,file_attributes_set,设置文件属性_磁盘自动运行配置文件,39
123,file_attributes_set_22,file_attributes_set,设置文件属性_IE浏览器进程,40
124,file_attributes_set_23,file_attributes_set,设置文件属性_与正常进程混淆的进程名,41
125,file_attributes_set_24,file_attributes_set,设置文件属性_移动存储设备位置,44
126,file_attributes_set_25,file_attributes_set,设置文件属性_常用软件进程名,53
127,file_attributes_set_x,file_attributes_set,设置文件属性_其他,NULL
128,file_copy_0,file_copy,复制文件_自启动项设置文件夹,1
129,file_copy_1,file_copy,复制文件_系统关键文件夹,2
130,file_copy_2,file_copy,复制文件_操作系统安装文件夹,3
131,file_copy_3,file_copy,复制文件_我的文档,4
132,file_copy_4,file_copy,复制文件_操作系统相关文件夹,5
133,file_copy_5,file_copy,复制文件_网络临时文件夹,6
134,file_copy_6,file_copy,复制文件_驱动程序相关文件夹,8
135,file_copy_7,file_copy,复制文件_应用程序配置文件夹,11
136,file_copy_8,file_copy,复制文件_IE浏览器安装文件夹,12
137,file_copy_9,file_copy,复制文件_临时文件夹,13
138,file_copy_10,file_copy,复制文件_可执行文件,29
139,file_copy_11,file_copy,复制文件_服务模块,30
140,file_copy_12,file_copy,复制文件_脚本文件,31
141,file_copy_13,file_copy,复制文件_配置文件,32
142,file_copy_14,file_copy,复制文件_动态链接库文件,33
143,file_copy_15,file_copy,复制文件_临时文件,34
144,file_copy_16,file_copy,复制文件_二进制数据文件,35
145,file_copy_17,file_copy,复制文件_杀毒软件进程名,36
146,file_copy_18,file_copy,复制文件_系统重要进程名,37
147,file_copy_19,file_copy,复制文件_系统关键配置文件,38
148,file_copy_20,file_copy,复制文件_磁盘自动运行配置文件,39
149,file_copy_21,file_copy,复制文件_IE浏览器进程,40
150,file_copy_22,file_copy,复制文件_与正常进程混淆的进程名,41
151,file_copy_23,file_copy,复制文件_移动存储设备位置,44
152,file_copy_24,file_copy,复制文件_常用软件进程名,53
153,file_copy_x,file_copy,复制文件_其他,NULL
154,file_create_0,file_create,创建文件_自启动项设置文件夹,1
155,file_create_1,file_create,创建文件_系统关键文件夹,2
156,file_create_2,file_create,创建文件_操作系统安装文件夹,3
157,file_create_3,file_create,创建文件_我的文档,4
158,file_create_4,file_create,创建文件_操作系统相关文件夹,5
159,file_create_5,file_create,创建文件_网络临时文件夹,6
160,file_create_6,file_create,创建文件_自身所在文件夹,7
161,file_create_7,file_create,创建文件_驱动程序相关文件夹,8
162,file_create_8,file_create,创建文件_应用程序配置文件夹,11
163,file_create_9,file_create,创建文件_IE浏览器安装文件夹,12
164,file_create_10,file_create,创建文件_临时文件夹,13
165,file_create_11,file_create,创建文件_可执行文件,29
166,file_create_12,file_create,创建文件_服务模块,30
167,file_create_13,file_create,创建文件_脚本文件,31
168,file_create_14,file_create,创建文件_配置文件,32
169,file_create_15,file_create,创建文件_动态链接库文件,33
170,file_create_16,file_create,创建文件_临时文件,34
171,file_create_17,file_create,创建文件_二进制数据文件,35
172,file_create_18,file_create,创建文件_杀毒软件进程名,36
173,file_create_19,file_create,创建文件_系统重要进程名,37
174,file_create_20,file_create,创建文件_系统关键配置文件,38
175,file_create_21,file_create,创建文件_磁盘自动运行配置文件,39
176,file_create_22,file_create,创建文件_IE浏览器进程,40
177,file_create_23,file_create,创建文件_与正常进程混淆的进程名,41
178,file_create_24,file_create,创建文件_移动存储设备位置,44
179,file_create_25,file_create,创建文件_常用软件进程名,53
180,file_create_x,file_create,创建文件_其他,NULL
181,file_delete_0,file_delete,删除文件_自启动项设置文件夹,1
182,file_delete_1,file_delete,删除文件_系统关键文件夹,2
183,file_delete_2,file_delete,删除文件_操作系统安装文件夹,3
184,file_delete_3,file_delete,删除文件_我的文档,4
185,file_delete_4,file_delete,删除文件_操作系统相关文件夹,5
186,file_delete_5,file_delete,删除文件_网络临时文件夹,6
187,file_delete_6,file_delete,删除文件_自身所在文件夹,7
188,file_delete_7,file_delete,删除文件_驱动程序相关文件夹,8
189,file_delete_8,file_delete,删除文件_应用程序配置文件夹,11
190,file_delete_9,file_delete,删除文件_IE浏览器安装文件夹,12
191,file_delete_10,file_delete,删除文件_临时文件夹,13
192,file_delete_11,file_delete,删除文件_可执行文件,29
193,file_delete_12,file_delete,删除文件_服务模块,30
194,file_delete_13,file_delete,删除文件_脚本文件,31
195,file_delete_14,file_delete,删除文件_配置文件,32
196,file_delete_15,file_delete,删除文件_动态链接库文件,33
197,file_delete_16,file_delete,删除文件_临时文件,34
198,file_delete_17,file_delete,删除文件_二进制数据文件,35
199,file_delete_18,file_delete,删除文件_杀毒软件进程名,36
200,file_delete_19,file_delete,删除文件_系统重要进程名,37
201,file_delete_20,file_delete,删除文件_系统关键配置文件,38
202,file_delete_21,file_delete,删除文件_磁盘自动运行配置文件,39
203,file_delete_22,file_delete,删除文件_IE浏览器进程,40
204,file_delete_23,file_delete,删除文件_与正常进程混淆的进程名,41
205,file_delete_24,file_delete,删除文件_移动存储设备位置,44
206,file_delete_25,file_delete,删除文件_常用软件进程名,53
207,file_delete_x,file_delete,删除文件_其他,NULL
208,file_end_set_0,file_end_set,设置文件结尾_自启动项设置文件夹,1
209,file_end_set_1,file_end_set,设置文件结尾_系统关键文件夹,2
210,file_end_set_2,file_end_set,设置文件结尾_操作系统安装文件夹,3
211,file_end_set_3,file_end_set,设置文件结尾_我的文档,4
212,file_end_set_4,file_end_set,设置文件结尾_操作系统相关文件夹,5
213,file_end_set_5,file_end_set,设置文件结尾_网络临时文件夹,6
214,file_end_set_6,file_end_set,设置文件结尾_自身所在文件夹,7
215,file_end_set_7,file_end_set,设置文件结尾_驱动程序相关文件夹,8
216,file_end_set_8,file_end_set,设置文件结尾_应用程序配置文件夹,11
217,file_end_set_9,file_end_set,设置文件结尾_IE浏览器安装文件夹,12
218,file_end_set_10,file_end_set,设置文件结尾_临时文件夹,13
219,file_end_set_11,file_end_set,设置文件结尾_可执行文件,29
220,file_end_set_12,file_end_set,设置文件结尾_服务模块,30
221,file_end_set_13,file_end_set,设置文件结尾_脚本文件,31
222,file_end_set_14,file_end_set,设置文件结尾_配置文件,32
223,file_end_set_15,file_end_set,设置文件结尾_动态链接库文件,33
224,file_end_set_16,file_end_set,设置文件结尾_临时文件,34
225,file_end_set_17,file_end_set,设置文件结尾_二进制数据文件,35
226,file_end_set_18,file_end_set,设置文件结尾_杀毒软件进程名,36
227,file_end_set_19,file_end_set,设置文件结尾_系统重要进程名,37
228,file_end_set_20,file_end_set,设置文件结尾_系统关键配置文件,38
229,file_end_set_21,file_end_set,设置文件结尾_磁盘自动运行配置文件,39
230,file_end_set_22,file_end_set,设置文件结尾_IE浏览器进程,40
231,file_end_set_23,file_end_set,设置文件结尾_与正常进程混淆的进程名,41
232,file_end_set_24,file_end_set,设置文件结尾_移动存储设备位置,44
233,file_end_set_25,file_end_set,设置文件结尾_系统日志文件,46
234,file_end_set_26,file_end_set,设置文件结尾_常用软件进程名,53
235,file_end_set_x,file_end_set,设置文件结尾_其他,NULL
236,file_find_0,file_find,查找文件_自启动项设置文件夹,1
237,file_find_1,file_find,查找文件_系统关键文件夹,2
238,file_find_2,file_find,查找文件_操作系统安装文件夹,3
239,file_find_3,file_find,查找文件_我的文档,4
240,file_find_4,file_find,查找文件_操作系统相关文件夹,5
241,file_find_5,file_find,查找文件_网络临时文件夹,6
242,file_find_6,file_find,查找文件_自身所在文件夹,7
243,file_find_7,file_find,查找文件_驱动程序相关文件夹,8
244,file_find_8,file_find,查找文件_即时通讯工具相关文件夹,9
245,file_find_9,file_find,查找文件_下载工具相关文件夹,10
246,file_find_10,file_find,查找文件_应用程序配置文件夹,11
247,file_find_11,file_find,查找文件_IE浏览器安装文件夹,12
248,file_find_12,file_find,查找文件_临时文件夹,13
249,file_find_13,file_find,查找文件_可执行文件,29
250,file_find_14,file_find,查找文件_服务模块,30
251,file_find_15,file_find,查找文件_脚本文件,31
252,file_find_16,file_find,查找文件_配置文件,32
253,file_find_17,file_find,查找文件_动态链接库文件,33
254,file_find_18,file_find,查找文件_临时文件,34
255,file_find_19,file_find,查找文件_二进制数据文件,35
256,file_find_20,file_find,查找文件_杀毒软件进程名,36
257,file_find_21,file_find,查找文件_系统重要进程名,37
258,file_find_22,file_find,查找文件_系统关键配置文件,38
259,file_find_23,file_find,查找文件_磁盘自动运行配置文件,39
260,file_find_24,file_find,查找文件_IE浏览器进程,40
261,file_find_25,file_find,查找文件_与正常进程混淆的进程名,41
262,file_find_26,file_find,查找文件_移动存储设备位置,44
263,file_find_27,file_find,查找文件_常用软件进程名,53
264,file_find_x,file_find,查找文件_其他,NULL
265,file_move_0,file_move,移动文件_自启动项设置文件夹,1
266,file_move_1,file_move,移动文件_系统关键文件夹,2
267,file_move_2,file_move,移动文件_操作系统安装文件夹,3
268,file_move_3,file_move,移动文件_我的文档,4
269,file_move_4,file_move,移动文件_操作系统相关文件夹,5
270,file_move_5,file_move,移动文件_网络临时文件夹,6
271,file_move_6,file_move,移动文件_驱动程序相关文件夹,8
272,file_move_7,file_move,移动文件_应用程序配置文件夹,11
273,file_move_8,file_move,移动文件_IE浏览器安装文件夹,12
274,file_move_9,file_move,移动文件_临时文件夹,13
275,file_move_10,file_move,移动文件_可执行文件,29
276,file_move_11,file_move,移动文件_服务模块,30
277,file_move_12,file_move,移动文件_脚本文件,31
278,file_move_13,file_move,移动文件_配置文件,32
279,file_move_14,file_move,移动文件_动态链接库文件,33
280,file_move_15,file_move,移动文件_临时文件,34
281,file_move_16,file_move,移动文件_二进制数据文件,35
282,file_move_17,file_move,移动文件_杀毒软件进程名,36
283,file_move_18,file_move,移动文件_系统重要进程名,37
284,file_move_19,file_move,移动文件_系统关键配置文件,38
285,file_move_20,file_move,移动文件_磁盘自动运行配置文件,39
286,file_move_21,file_move,移动文件_IE浏览器进程,40
287,file_move_22,file_move,移动文件_与正常进程混淆的进程名,41
288,file_move_23,file_move,移动文件_移动存储设备位置,44
289,file_move_24,file_move,移动文件_常用软件进程名,53
290,file_move_x,file_move,移动文件_其他,NULL
291,file_open_0,file_open,打开文件_自启动项设置文件夹,1
292,file_open_1,file_open,打开文件_系统关键文件夹,2
293,file_open_2,file_open,打开文件_操作系统安装文件夹,3
294,file_open_3,file_open,打开文件_我的文档,4
295,file_open_4,file_open,打开文件_操作系统相关文件夹,5
296,file_open_5,file_open,打开文件_网络临时文件夹,6
297,file_open_6,file_open,打开文件_自身所在文件夹,7
298,file_open_7,file_open,打开文件_驱动程序相关文件夹,8
299,file_open_8,file_open,打开文件_应用程序配置文件夹,11
300,file_open_9,file_open,打开文件_IE浏览器安装文件夹,12
301,file_open_10,file_open,打开文件_临时文件夹,13
302,file_open_11,file_open,打开文件_可执行文件,29
303,file_open_12,file_open,打开文件_服务模块,30
304,file_open_13,file_open,打开文件_脚本文件,31
305,file_open_14,file_open,打开文件_配置文件,32
306,file_open_15,file_open,打开文件_动态链接库文件,33
307,file_open_16,file_open,打开文件_临时文件,34
308,file_open_17,file_open,打开文件_二进制数据文件,35
309,file_open_18,file_open,打开文件_杀毒软件进程名,36
310,file_open_19,file_open,打开文件_系统重要进程名,37
311,file_open_20,file_open,打开文件_系统关键配置文件,38
312,file_open_21,file_open,打开文件_磁盘自动运行配置文件,39
313,file_open_22,file_open,打开文件_IE浏览器进程,40
314,file_open_23,file_open,打开文件_与正常进程混淆的进程名,41
315,file_open_24,file_open,打开文件_移动存储设备位置,44
316,file_open_25,file_open,打开文件_常用软件进程名,53
317,file_open_x,file_open,打开文件_其他,NULL
318,file_pointer_set,file_pointer_set,设置文件指针,NULL
319,file_read_0,file_read,读取文件_自启动项设置文件夹,1
320,file_read_1,file_read,读取文件_系统关键文件夹,2
321,file_read_2,file_read,读取文件_操作系统安装文件夹,3
322,file_read_3,file_read,读取文件_我的文档,4
323,file_read_4,file_read,读取文件_操作系统相关文件夹,5
324,file_read_5,file_read,读取文件_网络临时文件夹,6
325,file_read_6,file_read,读取文件_自身所在文件夹,7
326,file_read_7,file_read,读取文件_驱动程序相关文件夹,8
327,file_read_8,file_read,读取文件_应用程序配置文件夹,11
328,file_read_9,file_read,读取文件_IE浏览器安装文件夹,12
329,file_read_10,file_read,读取文件_临时文件夹,13
330,file_read_11,file_read,读取文件_可执行文件,29
331,file_read_12,file_read,读取文件_服务模块,30
332,file_read_13,file_read,读取文件_脚本文件,31
333,file_read_14,file_read,读取文件_配置文件,32
334,file_read_15,file_read,读取文件_动态链接库文件,33
335,file_read_16,file_read,读取文件_临时文件,34
336,file_read_17,file_read,读取文件_二进制数据文件,35
337,file_read_18,file_read,读取文件_杀毒软件进程名,36
338,file_read_19,file_read,读取文件_系统重要进程名,37
339,file_read_20,file_read,读取文件_系统关键配置文件,38
340,file_read_21,file_read,读取文件_磁盘自动运行配置文件,39
341,file_read_22,file_read,读取文件_IE浏览器进程,40
342,file_read_23,file_read,读取文件_与正常进程混淆的进程名,41
343,file_read_24,file_read,读取文件_移动存储设备位置,44
344,file_read_25,file_read,读取文件_系统日志文件,46
345,file_read_26,file_read,读取文件_常用软件进程名,53
346,file_read_x,file_read,读取文件_其他,NULL
347,file_search,file_search,寻找文件,NULL
348,file_security_set_0,file_security_set,设置文件安全属性_自启动项设置文件夹,1
349,file_security_set_1,file_security_set,设置文件安全属性_系统关键文件夹,2
350,file_security_set_2,file_security_set,设置文件安全属性_操作系统安装文件夹,3
351,file_security_set_3,file_security_set,设置文件安全属性_我的文档,4
352,file_security_set_4,file_security_set,设置文件安全属性_操作系统相关文件夹,5
353,file_security_set_5,file_security_set,设置文件安全属性_网络临时文件夹,6
354,file_security_set_6,file_security_set,设置文件安全属性_自身所在文件夹,7
