(KEYFUNCTION),(KEYPARAMINDEX),(CONVERTRULE),(ASSISTRULE),(COMBINERULE),(CONSTRUCTASSISTBEH),(CONSTRUCTBEHAVIOR),(TYPE)
CopyFile,00|01|03||,03|retValueBOOL||,NULL,NULL,NULL,file_copy,1
CopyFileEx,00|01|06||,06|retValueBOOL||,NULL,NULL,NULL,file_copy,1
CreateDirectory,00|02||,02|retValueBOOL||,NULL,NULL,NULL,directory_create,1
CreateDirectoryEx,01|03||,03|retValueBOOL||,NULL,NULL,NULL,directory_create,1
CreateFile,00|04|07||,04|dwCreationDisposition|07|retval||,NULL,NULL,07|00|Handle||,file_create,1
DeleteFile,00|01||,01|retValueBOOL||,NULL,NULL,NULL,file_delete,1
FindFirstFile,00|03||,NULL,NULL,NULL,03|00|Handle||,file_find,1
FindFirstFileEx,00|06||,NULL,NULL,NULL,06|00|Handle||,file_find,1
FindNextFile,00||,NULL,00|Handle||,NULL,NULL,NULL,1
GetDiskFreeSpace,00||,NULL,NULL,NULL,NULL,disk_freespace_get,1
GetDiskFreeSpaceEx,00||,NULL,NULL,NULL,NULL,disk_freespace_get,1
GetDriveType,00||,NULL,NULL,NULL,NULL,drive_info_get,1
GetFileAttributes,00||,NULL,NULL,NULL,NULL,file_attributes_get,1
GetFileAttributesEx,00||,NULL,NULL,NULL,NULL,file_attributes_get,1
GetFileSize,00||,NULL,00|Handle||,NULL,NULL,file_size_get,1
GetFileTime,00||,NULL,00|Handle||,NULL,NULL,file_time_get,1
GetFileType,00|01||,01|dwFileType||,00|Handle||,NULL,NULL,file_type_get,1
GetLogicalDriveStrings,NULL,NULL,NULL,NULL,NULL,drive_strings_get,1
GetSystemDirectory,00||,NULL,NULL,NULL,NULL,systemdirectory_get,1
GetTempFileName,NULL,NULL,NULL,NULL,NULL,tempfilename_get,1
GetTempPath,01||,NULL,NULL,NULL,NULL,temppath_get,1
GetWindowsDirectory,00||,NULL,NULL,NULL,NULL,windowsdirectory_get,1
MoveFile,00|01|02||,02|retValueBOOL||,NULL,NULL,NULL,file_move,1
MoveFileEx,00|01|03||,03|retValueBOOL||,NULL,NULL,NULL,file_move,1
OpenFile,00|02|03||,02|uStyle|03|retval||,NULL,NULL,03|00|Handle||,file_open,1
ReadFile,00|05||,05|retValueBOOL||,00|Handle||,NULL,NULL,file_read,1
ReadFileEx,00|05||,05|retValueBOOL||,00|Handle||,NULL,NULL,file_read,1
RemoveDirectory,00|01||,01|retValueBOOL||,NULL,NULL,NULL,directory_remove,1
SearchPath,00|01||,NULL,NULL,NULL,NULL,file_search,1
SetDllDirectory,00|01||,01|retValueBOOL||,NULL,NULL,NULL,dlldirectory_set,1
SetEndOfFile,00|01||,01|retValueBOOL||,00|Handle||,NULL,NULL,file_end_set,1
SetFileAttributes,00|01|02||,01|dwFileAttributes|02|retValueBOOL||,NULL,NULL,NULL,file_attributes_set,1
SetFilePointer,00||,NULL,00|Handle||,NULL,NULL,file_pointer_set,1
SetFileSecurity,00|03||,03|retValueBOOL||,NULL,NULL,NULL,file_security_set,1
SetFileTime,00||,NULL,00|Handle||,NULL,NULL,file_time_set,1
SetVolumeLabel,00|01||,NULL,NULL,NULL,NULL,disk_label_set,1
WriteFile,00|05||,05|retValueBOOL||,00|Handle||,NULL,NULL,file_write,1
WriteFileEx,00|05||,05|retValueBOOL||,00|Handle||,NULL,NULL,file_write,1
RegCloseKey,00||,NULL,NULL,NULL,99|00|RegKey||,NULL,2
RegCreateKey,00|01|02||,00|hKey||,00|RegKey||,00|01|\|00||,02|00|RegKey||,reg_create_or_open,2
RegCreateKeyEx,00|01|07||,00|hKey||,00|RegKey||,00|01|\|00||,07|00|RegKey||,reg_create_or_open,2
RegDeleteKey,00|01|02||,00|hKey||,00|RegKey||,NULL,NULL,reg_key_delete,2
RegDeleteKeyEx,00|01|04||,00|hKey||,00|RegKey||,NULL,NULL,reg_key_delete,2
RegDeleteValue,00|01|02||,00|hKey||,00|RegKey||,NULL,NULL,reg_value_delete,2
RegEnumKey,00||,00|hKey||,00|RegKey||,NULL,NULL,reg_key_enum,2
RegEnumKeyEx,00||,00|hKey||,00|RegKey||,NULL,NULL,reg_key_enum,2
RegEnumValue,00||,00|hKey||,00|RegKey||,NULL,NULL,reg_key_enum,2
RegFlushKey,00||,00|hKey||,NULL,NULL,NULL,reg_value_modify,2
RegOpenKey,00|01|02||,00|hKey|02|retValue||,00|RegKey||,00|01|\|00||,02|00|RegKey||,reg_open,2
RegOpenKeyEx,00|01|04||,00|hKey|04|retValue||,00|RegKey||,00|01|\|00||,04|00|RegKey||,reg_open,2
RegQueryInfoKey,00||,NULL,00|RegKey||,NULL,NULL,reg_info_query,2
RegQueryValue,00||,NULL,00|RegKey||,NULL,NULL,reg_value_query,2
RegQueryValueEx,00||,NULL,00|RegKey||,NULL,NULL,reg_value_query,2
RegSaveKey,00|01||,NULL,00|RegKey||,NULL,NULL,reg_key_save,2
RegSaveKeyEx,00|01||,NULL,00|RegKey||,NULL,NULL,reg_key_save,2
RegSetValue,00|01|03||,NULL,00|RegKey||,NULL,NULL,reg_value_modify,2
RegSetValueEx,00|01|04||,NULL,00|RegKey||,NULL,NULL,reg_value_modify,2
AdjustTokenPrivileges,00|01||,01|BOOL||,00|Handle||,NULL,NULL,process_previlege_set,3
